City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
269,Chaiyaphum,TH,15.75,102.0,58.57,68,67,7.87,broken clouds
270,Provideniya,RU,64.3833,-173.3,30.36,93,90,22.37,snow
271,Yanaul,RU,56.2719,54.9309,13.96,81,100,8.34,overcast clouds
272,Aegviidu,EE,59.2858,25.6142,11.66,89,33,4.99,scattered clouds
273,Santa Vitoria Do Palmar,BR,-33.5189,-53.3681,65.95,79,89,8.5,overcast clouds
274,Scottsbluff,US,41.8666,-103.6672,28.63,70,90,15.01,light snow
275,Iskateley,RU,67.6803,53.1512,20.1,84,100,18.54,overcast clouds
276,Saint-Pierre,RE,-21.3393,55.4781,76.64,75,0,6.91,clear sky
277,Meulaboh,ID,4.1363,96.1285,75.85,87,93,3.69,overcast clouds
278,College,US,64.8569,-147.8028,7.9,77,75,4.61,broken clouds
279,Ribeira Grande,PT,38.5167,-28.7,63.93,73,72,7.83,broken clouds
280,Husavik,IS,66.0449,-17.3389,42.71,73,100,27.47,moderate rain
281,Bonavista,CA,48.6499,-53.1147,33.12,63,94,17.43,overcast clouds
282,Pyrzyce,PL,53.1462,14.8926,34.14,95,100,5.84,overcast clouds
283,Ayan,RU,56.45,138.1667,21.4,67,100,6.02,overcast clouds
284,Lillooet,CA,50.6856,-121.942,30.96,53,87,1.14,overcast clouds
285,Goderich,CA,43.7501,-81.7165,32.92,93,100,17.27,snow
286,Dhule,IN,20.9,74.7833,73.06,59,88,2.37,overcast clouds
287,Mbigou,GA,-1.9005,11.906,69.53,98,100,0.72,moderate rain
288,Tigil,RU,57.8,158.6667,22.75,92,100,23.91,snow
289,Coruripe,BR,-10.1256,-36.1756,77.88,83,79,11.59,broken clouds
290,Chapais,CA,49.7834,-74.8492,-0.62,98,99,4.18,overcast clouds
291,Tortoli,IT,39.9256,9.6572,46.22,71,20,4.61,few clouds
292,Crotone,IT,39.0851,17.1178,50.09,76,29,15.73,scattered clouds
293,Broome,US,42.2506,-75.833,41.0,60,90,1.99,overcast clouds
294,Khirkiya,IN,22.1674,76.8605,64.04,54,19,6.02,few clouds
295,Puerto Baquerizo Moreno,EC,-0.9,-89.6,72.59,78,75,10.36,broken clouds
296,George,ZA,-33.963,22.4617,64.36,81,80,7.76,broken clouds
297,Itacoatiara,BR,-3.1431,-58.4442,80.26,77,81,1.95,broken clouds
298,Huinan,CN,42.6225,126.2614,30.97,91,100,5.64,overcast clouds
299,Shenjiamen,CN,29.9576,122.298,54.84,68,0,7.56,clear sky
300,Stephenville Crossing,CA,48.5,-58.4318,28.53,86,75,10.36,light shower snow
301,Namwala,ZM,-15.7504,26.4384,76.86,35,92,5.77,overcast clouds
302,Starosubkhangulovo,RU,53.1031,57.4423,28.67,98,100,1.39,light snow
303,Raposa,BR,-6.5167,-44.1833,72.73,90,84,2.68,broken clouds
304,Antofagasta,CL,-23.65,-70.4,63.68,68,37,5.57,scattered clouds
305,Wamba,NG,8.9333,8.6,77.31,29,70,4.76,broken clouds
306,Darhan,MN,49.4867,105.9228,12.47,85,17,7.65,few clouds
