City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
187,Toong,PH,2021-12-02 00:59:56,14.0706,120.7633,81.72,66,55,12.82
188,Pisco,PE,2021-12-02 00:59:56,-13.7,-76.2167,66.25,77,0,16.11
189,Strezhevoy,RU,2021-12-02 00:59:57,60.7333,77.5889,31.98,97,100,10.54
190,Richards Bay,ZA,2021-12-02 00:59:57,-28.783,32.0377,73.31,84,4,14.74
191,Nemuro,JP,2021-12-02 00:59:57,43.3236,145.575,36.03,53,7,31.88
192,Aswan,EG,2021-12-02 00:57:49,24.0934,32.907,63.7,55,0,13.8
193,Port Lincoln,AU,2021-12-02 00:59:58,-34.7333,135.8667,63.88,58,97,11.9
194,Ulladulla,AU,2021-12-02 00:59:58,-35.35,150.4667,79.7,63,10,9.35
195,Dakar,SN,2021-12-02 00:59:52,14.6937,-17.4441,74.28,88,100,4.61
196,Panlaitan,PH,2021-12-02 00:59:58,12.1191,119.8486,82.98,71,100,6.6
197,Ayagoz,KZ,2021-12-02 00:59:59,47.9714,80.4392,5.72,83,7,5.61
198,Weligama,LK,2021-12-02 00:59:59,5.9667,80.4167,74.91,88,4,3.74
199,Siguiri,GN,2021-12-02 00:59:59,11.6667,-9.5,74.7,25,0,2.06
200,Upernavik,GL,2021-12-02 01:00:00,72.7868,-56.1549,27.09,96,100,6.4
201,Severo-Kurilsk,RU,2021-12-02 01:00:00,50.6789,156.125,40.53,89,100,19.44
202,Basco,PH,2021-12-02 01:00:00,20.4487,121.9702,73.17,65,88,29.01
203,Sao Felix Do Xingu,BR,2021-12-02 01:00:01,-6.6447,-51.995,73.09,98,100,0.85
204,San Policarpo,PH,2021-12-02 01:00:01,12.1791,125.5072,80.71,86,100,14.12
205,Wendo,ET,2021-12-02 01:00:01,6.6,38.4167,54.12,59,67,4.56
206,Buraydah,SA,2021-12-02 01:00:02,26.326,43.975,61.81,22,33,11.95
207,San Quintin,MX,2021-12-02 01:00:02,30.4833,-115.95,63.46,74,0,4.65
208,Khash,IR,2021-12-02 01:00:03,28.2211,61.2158,48.85,45,6,2.86
209,Arraial Do Cabo,BR,2021-12-02 00:58:58,-22.9661,-42.0278,73.29,88,5,6.93
210,Tiksi,RU,2021-12-02 01:00:03,71.6872,128.8694,-28.44,100,81,4.32
